Title,Price,Original Price,Discount,Revenue,Net Profit,Monthly Profit,Site Age,Industry,Monetization,Country,Description,Link,Verified,Sponsored,Annual ROI (%),Monthly ROI (%),Payback Period (months)
SaaS | Business,2300.0,,,,"USD $4,151 p/mo",4151.0,15 years,Business,Other,India,15-Year-Old Established Business | Zero Ad Spend | Custom Platform & Outsourced Fulfillment | Easy To Run | No Technical Knowledge or Coding Skills Required,https://flippa.com/11943032,Yes,Yes,2165.7391304347825,180.47826086956522,0.5540833534088172
acta.ai,3072.0,"USD $8,000",Reduced 62%,,"-USD $5,500 p/mo",5500.0,<1 year,Internet,Services & Subscriptions,India,White Label Solution for Generating automated meeting minutes . White label for www.acta.ai,https://flippa.com/11887961,Yes,No,2148.4375,179.03645833333331,0.5585454545454546
Clonaleur - Wordpress AI Writing Plugin,5000.0,,,,USD $801 p/mo,801.0,<1 year,Internet,Services & Subscriptions,Australia,A MRR modelled SaaS Wordpress Plugin in the AI content generation niche for automating written and image based content from specified sources.,https://flippa.com/11795835,Yes,No,192.24,16.02,6.242197253433209
Grantly Club,3500.0,,,,USD $205 p/mo,205.0,<1 year,Business,Services & Subscriptions,"CA, United States","Ai Grant Writer Application Assistant, cut down grant and application writing time down while increasing approval rate up to 65%.",https://flippa.com/11924167,Yes,No,70.28571428571428,5.857142857142858,17.073170731707318
rethink.onl,2800.0,,,,USD $123 p/mo,123.0,5 years,General Knowledge,Adsense,,"rethink.onl, Jobscue.com, hotShot.world, Blabboo.com, themarryme.com, ADmax.store needs Funding !",https://flippa.com/10879876,No,No,52.714285714285715,4.392857142857142,22.764227642276424
flyingAmigo,2000.0,,,,-USD $31 p/mo,31.0,1 year,Travel,Affiliate Sales,Ireland,"FlyingAmigo connects travelers and shoppers worldwideearn by bringing items from abroad, or find what you love from anywhere. Safe, easy, global shopping.",https://flippa.com/11961245,Yes,No,18.6,1.55,64.51612903225806
Story Treasure,3900.0,,,,USD $41 p/mo,41.0,<1 year,Entertainment,Services & Subscriptions,Germany,A web app that generates custom illustrated children's books from short prompts. Great for bilingual families & parents tackling tough topics.,https://flippa.com/11923766,No,No,12.615384615384615,1.0512820512820513,95.1219512195122
Motionit,5000.0,,,,USD $48 p/mo,48.0,2 years,Design and Style,Services & Subscriptions,Italy,"Motionit redefines slide-making for students, teachers, and business professionals. Our advanced AI generates elegant slides from keywords or documents, taking",https://flippa.com/11915659,Yes,No,11.52,0.96,104.16666666666667
getvidio.com,5000.0,"USD $8,000",Reduced 38%,,USD $30 p/mo,30.0,<1 year,Business,Services & Subscriptions,France,"AI-Powered Tool that Automates UGC Ad Creation with Real Avatars, Helping Businesses Save Time and Cut Costs on Video Production",https://flippa.com/11935982,No,No,7.199999999999999,0.6,166.66666666666666
Liro.ai - AI-Powered Image Generation,2160.0,"USD $9,000",Reduced 76%,,USD $11 p/mo,11.0,<1 year,Internet,Services & Subscriptions,"GA, United States","Liro.ai transforms text prompts into hyper-realistic images instantly, catering to designers, marketers, and businesses. A scalable, privacy-focused, and revenu",https://flippa.com/11905664,Yes,Yes,6.111111111111111,0.5092592592592593,196.36363636363637
